 NS,EW,UD
0.001,0.021,0.018
-0.003,0.002,-0.008
-0.01,-0.03,0.008
0.014,-0.017,0.008
-0.011,-0.02,0.01
0.003,0.002,-0.018
-0.017,0.039,-0.007
-0.008,0.018,-0.027
-0.005,0.006,0.004
0.004,0.005,-0.023
0.023,-0.006,-0.004
0.008,-0.006,0.018
-0.011,0.011,0.003
-0.043,-0.023,-0.025
-0.006,-0.001,-0.025
0.005,0.008,0.004
0.003,-0.015,0.029
0.022,-0.003,0.082
0.008,0.01,0.008
-0.014,0.01,0.053
-0.036,0.003,-0.017
-0.002,0.006,-0.02
0.001,0.011,-0.012
0.034,0.018,0.03
0.013,-0.021,-0.021
0.01,-0.006,0.01
-0.014,-0.005,0.039
-0.006,-0.004,0.046
0.008,0.025,0.033
0.025,0.014,0.006
-0.019,0.027,-0.012
-0.041,-0.007,-0.033
-0.039,0.006,-0.042
0.016,-0.013,-0.01
0.012,0.003,0.019
0.039,0.043,0.013
-0.003,-0.01,0.045
0.01,0.021,0.002
-0.027,0.007,0.014
-0.033,0.024,0.003
0.002,0.006,0.012
0.028,0.003,-0.011
0.015,0.013,0.001
0.005,-0.005,0.019
0.011,-0.025,0.017
-0.008,0.001,-0.021
0.003,-0.011,0.001
-0.004,0.003,0.004
-0.006,0.027,-0.004
-0.004,0.006,0.01
0.006,-0.02,-0.023
-0.014,-0.022,0.004
0.008,0.011,-0.002
0.008,-0.006,0.039
0.03,0.025,0.049
0.001,-0.001,0.029
-0.032,-0.001,-0.015
-0.03,0.009,-0.021
-0.025,0.028,-0.006
0.006,0.017,-0.007
-0.011,0.008,0.11
-0.02,0.01,0.21
0.017,-0.058,0.259
0,-0.032,0.078
-0.026,0.082,-0.109
-0.048,0.183,-0.149
0.056,-0.043,-0.102
0.006,-0.206,0.499
0.065,-0.02,0.218
-0.001,0.307,-0.218
0.009,0.448,-0.31
0.134,-0.123,0.409
0.036,-0.63,0.168
-0.195,-0.317,-2.022
0.002,0.975,-3.274
0.186,0.911,-2.65
0.254,-0.46,-0.39
0.591,-1.256,1.765
0.147,0.514,1.536
0.065,1.798,-0.226
0.512,0.039,0.661
0.054,-1.065,3.494
-0.819,-0.31,2.833
0.747,0.04,0.235
0.794,-0.246,-0.42
-0.313,1.101,1.19
0.304,1.588,2.342
0.551,-0.918,-0.996
-1.264,-1.108,-6.624
-0.684,0.825,-11.534
0.411,1.082,-10.782
0.775,-0.736,-5.815
1.711,-1.77,2.433
2.589,0.679,6.699
1.658,1.105,5.143
1.469,-1.827,9.717
-1.559,-4.992,15.405
-4.308,-1.834,12.991
-2.231,4.529,9.665
0.42,4.277,13.856
1.725,-0.353,17.697
2.132,-5.782,15.06
-0.806,0.704,-5.046
-4.654,7.421,-32.925
-2.643,4.586,-52.847
-2.752,-0.376,-47.602
1.859,-2.091,-35.161
5.974,-1.509,-23.562
6.909,0.372,-15.785
7.315,-1.165,-0.45
3.684,-0.551,13.363
-1.565,-0.828,27.34
